Odległość (m),Wysokość (m),x,y
6300.0,3.5,499852,692233
6325.0,3.2,499859,692257
6350.0,3.1,499866,692281
6375.0,3.4,499873,692305
6400.0,3.6,499880,692329
6425.0,3.6,499886,692353
6450.0,3.3,499893,692377
6475.0,3.1,499900,692402
6500.0,2.9,499907,692426
6525.0,2.8,499913,692450
6550.0,2.9,499920,692474
6575.0,2.8,499927,692498
6600.0,2.7,499934,692522
6625.0,2.4,499940,692546
6650.0,2.4,499947,692570
6675.0,2.4,499954,692594
6700.0,2.4,499961,692618
6725.0,2.9,499968,692642
6750.0,2.9,499974,692666
6775.0,3.4,499981,692690
6800.0,2.9,499988,692714
6825.0,3.0,499995,692738
6850.0,3.0,500001,692762
6875.0,2.9,500008,692787
6900.0,3.2,500015,692811
6925.0,3.0,500022,692835
6950.0,4.1,500028,692859
6975.0,4.1,500035,692883
7000.0,4.3,500042,692907
7025.0,4.3,500049,692931
7050.0,3.8,500056,692955
7075.0,3.3,500061,692980
7100.0,3.9,500065,693004
7125.0,3.8,500069,693029
7150.0,3.2,500074,693053
7175.0,3.3,500078,693078
7200.0,3.3,500083,693102
7225.0,3.1,500087,693127
7250.0,3.5,500092,693152
7275.0,3.9,500096,693176
7300.0,4.1,500101,693201
7325.0,3.5,500105,693225
7350.0,2.9,500110,693250
7375.0,3.7,500114,693275
7400.0,3.8,500119,693299
7425.0,3.0,500123,693324
7450.0,3.4,500128,693348
7475.0,3.6,500132,693373
7500.0,4.1,500137,693398
7525.0,4.3,500141,693422
7550.0,3.9,500145,693447
7575.0,3.2,500150,693471
7600.0,3.3,500154,693496
7625.0,3.4,500159,693521
7650.0,3.4,500163,693545
7675.0,3.3,500168,693570
7700.0,3.1,500172,693594
7725.0,3.1,500177,693619
7750.0,3.1,500181,693644
7775.0,3.2,500186,693668
7800.0,3.3,500190,693693
7825.0,3.3,500195,693717
7850.0,3.2,500199,693742
7875.0,3.0,500204,693767
7900.0,2.9,500208,693791
