Odległość (m),Wysokość (m),x,y
10650.0,724.5,323303,316836
10700.0,724.6,323256,316821
10750.0,725.5,323208,316805
10800.0,727.4,323160,316790
10850.0,730.2,323113,316775
10900.0,733.2,323065,316759
10950.0,735.3,323018,316744
11000.0,741.4,322970,316728
11050.0,746.2,322923,316713
11100.0,749.7,322875,316697
11150.0,753.8,322827,316682
11200.0,757.9,322780,316667
11250.0,764.9,322732,316651
11300.0,770.8,322685,316636
11350.0,779.8,322637,316620
11400.0,790.6,322590,316605
11450.0,799.7,322542,316590
11500.0,810.5,322494,316574
11550.0,819.3,322447,316559
11600.0,828.6,322399,316543
11650.0,835.8,322352,316528
11700.0,840.7,322304,316512
11750.0,840.1,322257,316497
11800.0,833.5,322209,316482
11850.0,822.0,322163,316462
11900.0,808.8,322118,316440
11950.0,803.8,322073,316418
12000.0,807.1,322029,316396
12050.0,809.1,321984,316374
12100.0,813.3,321939,316352
12150.0,818.4,321894,316330
12200.0,824.4,321849,316308
12250.0,831.5,321804,316286
12300.0,839.7,321759,316263
12350.0,848.2,321715,316241
12400.0,858.7,321670,316219
12450.0,868.9,321625,316197
12500.0,876.2,321580,316175
12550.0,884.1,321535,316153
12600.0,893.9,321490,316131
12650.0,901.6,321446,316109
12700.0,907.5,321401,316086
12750.0,912.2,321356,316064
12800.0,917.0,321311,316042
12850.0,923.5,321266,316020
12900.0,935.0,321221,315998
12950.0,946.4,321177,315976
13000.0,956.3,321132,315954
13050.0,964.0,321087,315932
13100.0,970.3,321042,315910
13150.0,971.7,320997,315887
13200.0,967.1,320952,315865
13250.0,960.1,320907,315843
13300.0,949.5,320863,315821
13350.0,938.9,320818,315799
13400.0,925.4,320773,315777
13450.0,913.9,320728,315755
13500.0,902.6,320683,315733
13550.0,891.4,320638,315711
13600.0,878.8,320594,315688
13650.0,860.7,320549,315666
13700.0,842.3,320504,315644
13750.0,826.5,320459,315622
13800.0,809.8,320414,315600
13850.0,793.2,320369,315578
13900.0,775.5,320324,315556
13950.0,758.8,320280,315534
14000.0,741.6,320235,315512
14050.0,726.0,320190,315489
14100.0,710.5,320145,315467
14150.0,698.3,320100,315445
14200.0,686.0,320055,315423
14250.0,675.9,320011,315401
14300.0,665.6,319966,315379
14350.0,656.3,319921,315357
14400.0,647.6,319876,315335
14450.0,639.5,319831,315312
14500.0,632.6,319786,315290
14550.0,626.6,319742,315268
14600.0,621.3,319697,315246
14650.0,617.4,319652,315224
14700.0,623.5,319607,315202
14750.0,636.4,319562,315180
14800.0,653.5,319517,315158
14850.0,673.0,319472,315136
14900.0,693.2,319428,315113
14950.0,714.1,319383,315091
15000.0,728.2,319338,315069
15050.0,734.8,319293,315047
15100.0,738.3,319248,315025
15150.0,735.2,319203,315003
15200.0,728.5,319158,314981
15250.0,725.0,319114,314959
15300.0,728.5,319069,314937
15350.0,733.1,319024,314915
15400.0,739.0,318979,314893
15450.0,742.1,318934,314871
15500.0,744.3,318889,314848
15550.0,740.2,318844,314826
15600.0,735.8,318800,314804
15650.0,733.8,318755,314782
15700.0,733.0,318710,314760
15750.0,731.7,318665,314738
15800.0,730.5,318620,314716
15850.0,728.5,318575,314694
15900.0,726.2,318530,314672
15950.0,724.0,318486,314650
16000.0,722.0,318441,314628
16050.0,722.8,318396,314606
16100.0,723.7,318351,314583
16150.0,718.3,318306,314561
16200.0,711.1,318261,314539
16250.0,701.9,318216,314517
16300.0,689.6,318172,314495
16350.0,677.1,318127,314473
16400.0,666.7,318082,314451
16450.0,655.2,318037,314429
16500.0,644.0,317992,314407
16550.0,637.2,317947,314385
16600.0,627.8,317902,314363
16650.0,617.3,317858,314341
16700.0,610.1,317813,314318
16750.0,607.9,317768,314296
16800.0,601.9,317723,314274
16850.0,601.0,317678,314252
16900.0,611.8,317633,314230
16950.0,611.9,317588,314208
17000.0,610.3,317544,314186
17050.0,611.0,317499,314164
17100.0,611.7,317454,314142
17150.0,610.2,317409,314120
17200.0,609.8,317364,314098
17250.0,609.1,317319,314076
17300.0,604.4,317274,314053
17350.0,600.4,317230,314031
17400.0,596.2,317185,314009
17450.0,592.0,317140,313987
17500.0,590.5,317095,313965
17550.0,587.2,317050,313943
17600.0,580.5,317006,313919
17650.0,573.8,316964,313892
17700.0,567.4,316922,313865
17750.0,561.4,316880,313838
17800.0,554.8,316838,313811
17850.0,551.3,316796,313784
17900.0,550.3,316754,313757
17950.0,544.8,316712,313730
18000.0,539.0,316670,313703
18050.0,543.4,316628,313676
18100.0,543.6,316586,313649
18150.0,539.2,316544,313622
18200.0,532.3,316502,313595
18250.0,525.4,316460,313568
18300.0,517.2,316418,313540
18350.0,507.0,316376,313513
18400.0,508.0,316333,313486
18450.0,521.2,316291,313459
18500.0,531.1,316249,313432
18550.0,543.0,316207,313405
18600.0,552.4,316165,313378
18650.0,558.9,316123,313351
18700.0,563.2,316081,313324
18750.0,568.5,316039,313297
18800.0,572.5,315997,313270
18850.0,575.8,315955,313243
18900.0,580.9,315913,313216
18950.0,589.7,315871,313188
19000.0,596.5,315829,313161
19050.0,604.9,315787,313134
19100.0,617.4,315745,313107
19150.0,628.8,315703,313080
19200.0,636.0,315661,313053
19250.0,635.2,315619,313026
19300.0,630.9,315577,312999
19350.0,625.2,315535,312972
19400.0,618.3,315493,312945
19450.0,612.5,315451,312918
19500.0,607.0,315409,312891
19550.0,599.4,315367,312864
19600.0,592.1,315325,312837
19650.0,585.1,315283,312809
19700.0,579.6,315241,312782
19750.0,574.7,315199,312755
19800.0,570.4,315156,312728
19850.0,566.2,315114,312701
19900.0,563.1,315072,312674
19950.0,560.3,315030,312647
20000.0,557.6,314988,312620
20050.0,558.1,314946,312593
20100.0,566.7,314904,312566
20150.0,574.3,314862,312539
20200.0,588.4,314820,312512
20250.0,610.2,314778,312484
20300.0,632.1,314737,312456
20350.0,651.4,314695,312429
20400.0,667.1,314654,312401
20450.0,674.1,314612,312373
20500.0,677.5,314570,312345
20550.0,675.9,314529,312318
20600.0,676.7,314487,312290
20650.0,676.3,314446,312262
20700.0,672.1,314404,312234
20750.0,668.4,314362,312207
20800.0,669.6,314321,312179
20850.0,677.8,314279,312151
20900.0,683.4,314238,312124
20950.0,691.1,314196,312096
21000.0,693.7,314154,312068
21050.0,690.3,314113,312040
21100.0,683.4,314071,312013
21150.0,674.2,314030,311985
21200.0,659.4,313988,311957
21250.0,654.2,313946,311929
21300.0,671.7,313905,311902
21350.0,688.8,313863,311874
21400.0,693.5,313822,311846
